code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
603999,读者传媒,-7.424,6.11,6.42,6.46,6.11,6.6,16550009.0,2.87327,104100328.0,46.641,2.073,351936.0,351936.0
603998,方盛制药,-4.799,6.15,6.34,6.47,6.14,6.46,12322966.0,2.89818,77710532.0,43.929,2.531,268522.9728,261495.9828
603997,继峰股份,-5.0,9.12,9.55,9.77,9.08,9.6,7479215.0,1.1871800000000001,70027554.0,19.826,3.209,583144.8384,574560.0
603996,中新科技,-9.958,10.76,11.4,11.8,10.76,11.95,17307847.0,5.7664,194492683.0,21.959,2.056,322961.4,322961.4
603993,洛阳钼业,-7.573,4.76,5.04,5.04,4.7,5.15,292707253.0,1.65692,1434626295.0,34.0,2.491,10281238.517508,8408907.749508
603991,至正股份,-4.27,20.4,21.0,21.44,20.39,21.31,1484503.0,3.61378,31194507.0,40.0,3.091,152051.39592,83800.99272
603990,麦迪科技,-0.102,48.9,48.0,49.86,47.25,48.95,822565.0,1.36475,40228924.0,76.406,9.127,394304.3187,294730.08
603989,艾华集团,1.429,22.0,21.58,22.04,21.01,21.69,3577239.0,0.91724,77937599.0,22.68,4.718,858003.7444,858003.7444
603988,中电电机,-6.883,11.5,12.0,12.0,11.12,12.35,10221948.0,4.34607,119121537.0,41.071,4.083,270480.0,270480.0
603987,康德莱,-6.316,7.12,7.45,7.53,7.1,7.6,7495720.0,2.87254,54988729.0,18.737,2.425,314425.608,185791.85744
603986,兆易创新,1.34,105.9,102.0,114.95,98.5,104.5,13508143.0,6.51318,1479760368.0,53.216,15.775,3014385.12792,2196336.12561
603985,恒润股份,-4.257,26.09,27.26,27.26,26.02,27.25,1274062.0,1.91416,33726531.0,20.616,2.536,271336.0,173655.04
603980,吉华集团,-5.915,13.68,14.38,14.38,13.66,14.54,7557158.0,3.0766,106395489.0,15.493,1.633,684000.0,336026.064384
603979,金诚信,-4.026,8.82,9.06,9.1,8.8,9.19,5888741.0,1.00937,52796214.0,25.2,1.284,514566.237024,514566.237024
603978,深圳新星,-6.304,22.59,23.3,23.98,22.47,24.11,3827612.0,5.24793,89682877.0,14.389,2.641,361440.0,164761.70112
603977,国泰集团,-7.143,7.8,8.28,8.28,7.8,8.4,4974640.0,2.82727,40165995.0,35.455,1.6640000000000001,305162.5044,137242.56
603976,正川股份,-9.979,17.14,18.61,18.61,17.14,19.04,5072460.0,13.24404,91280432.0,18.835,2.668,259156.8,65646.093732
603970,中农立华,-6.052,16.3,17.03,17.03,16.3,17.35,4030490.0,5.06342,67440905.0,18.546,3.103,260800.1304,129748.1304
603969,银龙股份,-6.998,5.05,5.34,5.34,4.99,5.43,21970649.0,2.6124400000000003,114083958.0,16.833,2.549,424705.0,424705.0
603968,醋化股份,-4.753,14.63,15.08,15.15,14.63,15.36,4237310.0,2.07224,63275545.0,18.519,2.14,299154.24,299154.24
603966,法兰泰克,-8.088,10.0,10.78,10.79,9.91,10.88,4111556.0,4.42155,43124454.0,24.39,2.401,210979.6,92989.104
